2019-09-15 21:44:55.5388 | TRACE | FileCabinet.FileCabinet | Start Create
2019-09-15 21:45:03.4342 | WARN | FileCabinet.FileCabinet | FormatException
2019-09-15 21:45:06.2394 | TRACE | FileCabinet.FileCabinet | Start Create
2019-09-15 21:45:30.6988 | INFO | FileCabinet.FileCabinet | Record is created
2019-09-15 21:45:32.2559 | TRACE | FileCabinet.FileCabinet | Start List
2019-09-15 21:45:34.0400 | TRACE | FileCabinet.FileCabinet | Start Create
2019-09-15 21:45:44.4476 | INFO | FileCabinet.FileCabinet | Record is created
2019-09-15 21:45:48.3438 | TRACE | FileCabinet.FileCabinet | Start Create
2019-09-15 21:46:01.9276 | INFO | FileCabinet.FileCabinet | Record is created
2019-09-15 21:46:03.2876 | TRACE | FileCabinet.FileCabinet | Start List
2019-09-15 21:46:06.3918 | TRACE | FileCabinet.FileCabinet | Start ExportCSV
2019-09-15 21:46:06.4038 | TRACE | FileCabinet.FileCabinet | End ExportCSV
2019-09-15 21:46:08.1999 | TRACE | FileCabinet.FileCabinet | Start ExportXML
2019-09-15 21:46:48.9113 | TRACE | FileCabinet.FileCabinet | Start ImportCSV
2019-09-15 21:46:48.9873 | TRACE | FileCabinet.FileCabinet | End ImportCSV
2019-09-15 21:46:50.0233 | TRACE | FileCabinet.FileCabinet | Start List
2019-09-15 21:46:54.3596 | TRACE | FileCabinet.FileCabinet | Start ExportXML
2019-09-15 21:46:54.4216 | TRACE | FileCabinet.FileCabinet | End ExportXML
2019-09-15 21:47:35.2789 | TRACE | FileCabinet.FileCabinet | Start Purge
2019-09-15 21:47:35.2789 | TRACE | FileCabinet.FileCabinet | End Purge
2019-09-15 21:47:38.9591 | TRACE | FileCabinet.FileCabinet | Start ImportXML
2019-09-15 21:47:38.9911 | TRACE | FileCabinet.FileCabinet | End ImportCSV
2019-09-15 21:47:39.9272 | TRACE | FileCabinet.FileCabinet | Start List
